"BRISONr","genotype","baking_qulaity","country","breeder","breeding_progress","phaseI","phaseII","RYear"
"BRISONr_25","Nelson","E","DE","Saatzucht Schweiger",TRUE,TRUE,FALSE,2011
"BRISONr_26","Patras","A","DE","DSV",TRUE,TRUE,TRUE,2012
"BRISONr_27","Götz","B","DE","Bayrische Saatzuchtgesellschaft",TRUE,TRUE,TRUE,1978
"BRISONr_28","Robigus","Bk","GB","KWS UK Limited, CPB Twyford Ltd",TRUE,TRUE,FALSE,2004
"BRISONr_29","Anapolis","C","DE","NORDSAAT Saatzuchtgesellschaft",TRUE,TRUE,FALSE,2013
"BRISONr_3","Jafet","E","DE","Sandra Senghaas-Kirschenlohr",TRUE,TRUE,FALSE,2008
"BRISONr_30","Solstice",NA,"GB","Limagrain UK Ltd",TRUE,TRUE,FALSE,2001
"BRISONr_31","Biscay","C","DE","Lochow-Petkus",TRUE,TRUE,TRUE,2000
"BRISONr_32","Capone","A","DE","LIMAGRAIN GmbH",TRUE,TRUE,FALSE,2012
"BRISONr_33","Tabasco","C","DE","v. Borris-Eckendorf",TRUE,TRUE,FALSE,2008
"BRISONr_34","Kometus","A","DE","Saatzucht Schweiger",TRUE,TRUE,FALSE,2011
"BRISONr_35","Cubus","A","DE","Lochow-Petkus",TRUE,TRUE,FALSE,2002
"BRISONr_36","Edward","B","DE","W. von Borries-Eckendorf",TRUE,TRUE,FALSE,2013
"BRISONr_37","Famulus","E","DE","DSV",TRUE,TRUE,FALSE,2010
"BRISONr_38","Dekan","B","DE","Lochow-Petkus",TRUE,TRUE,TRUE,1999
"BRISONr_39","SW Topper","E",NA,"SW Seeds",TRUE,TRUE,FALSE,2002
"BRISONr_4","Claire","C","IE,UK","Nickerson",TRUE,TRUE,FALSE,1999
"BRISONr_40","Matrix","B","DE","DSV",TRUE,TRUE,FALSE,2010
"BRISONr_41","Jenga","A","DE","Ackermann Saatzucht",TRUE,TRUE,FALSE,2007
"BRISONr_42","Linus","A","DE","RAGT/Mellinger",TRUE,TRUE,FALSE,2010
"BRISONr_43","TJB 990-15","BISC, D","GB","Plant Breeding International Cambridge (PBIC)",FALSE,TRUE,FALSE,1980
"BRISONr_44","Forum","A","EU","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2012
"BRISONr_45","Colonia","B","EU","LIMAGRAIN GmbH",TRUE,TRUE,FALSE,2011
"BRISONr_46","Transit","A","DE","Saatzucht Josef Breun",TRUE,TRUE,FALSE,1994
