BRISONr,genotype,RYear,quality,breeder,breeding_progress_subset
BRISONr_217,Hystar,2007,B,Saaten Union Recherche,FALSE
BRISONr_218,Hylux,2012,B,Saaten Union Recherche,FALSE
BRISONr_219,Piko,1994,B,NORDSAAT,FALSE
BRISONr_220,SUR 99820,NA,NA,Saaten Union Recherche SAS ?,FALSE
BRISONr_50,Hermann,2004,C,Limagrain-Nickerson,TRUE
BRISONr_221,Julius,2008,A,KWS Lochow,TRUE
BRISONr_222,RGT Reform,2014,A,RAGT,TRUE
BRISONr_223,Benchmark,2015,B,Sejet,TRUE
BRISONr_224,Barranco,2016,E,Secobra,TRUE
BRISONr_225,Nordkap,2016,A,Nordsaat,TRUE
BRISONr_226,Porthus,2016,B,Strube,TRUE
BRISONr_227,Sheriff,2016,C,ISZ/Sejet,TRUE
BRISONr_228,Apostel,2016,A,Streng,TRUE
