"Row";"Column";"BRISONr";"Year";"Location";"Subtrial";"Treatment";"Block";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Sedimentation";"Falling_number";"Crude_protein"
17;5;"BRISONr_46";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;95;61.92;891.3043478;1894.6;42.5;39.75;719.64;7.5;0;0;5;1;NA;15;NA;8.54
11;11;"BRISONr_47";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;84;59.31;700.149925;1476.61;40.48;39.28;434.78;0;0;0;7.5;1;NA;21;NA;8.51
12;7;"BRISONr_48";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;87;57.1;635.2323838;1348.58;39.8;36.73;449.78;1;0;0;5;0;NA;20;NA;8.05
16;9;"BRISONr_49";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;88;53.53;492.5037481;1072.11;37.18;35.43;344.83;1;0;0;5;3;NA;17;NA;8.49
10;10;"BRISONr_50";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;86;50.14;566.2668666;1378.86;42.73;37.9;329.84;0;0;0;3;1;NA;15;NA;8.87
20;9;"BRISONr_51";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;92;54.24;721.8890555;1586.81;49.7;48.85;389.81;3;0;0;7.5;1;NA;20;NA;8.53
13;11;"BRISONr_52";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;82;51.08;527.1364318;1104.35;39.65;36.43;359.82;0;0;0;5;3;NA;17;NA;8.12
12;9;"BRISONr_53";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;85;58.37;629.0854573;1295.5;41.58;41.58;374.81;1;0;0;3;5;NA;20;NA;8.28
16;10;"BRISONr_54";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;90;58.13;603.4482759;1257.27;41.75;40.93;329.84;3;0;0;7.5;1;NA;15;NA;7.77
17;6;"BRISONr_55";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;90;51.99;825.4872564;1845.43;38.88;38.2;554.72;1;0;0;3;1;NA;25;NA;8.88
16;7;"BRISONr_56";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;89;47.8;554.5727136;1151.42;40.4;39.25;314.84;0;0;0;5;0;NA;13;NA;7.76
20;10;"BRISONr_57";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;83;57.99;567.1664168;1398.65;46.6;41.13;374.81;5;0;0;5;1;NA;30;NA;9.41
20;4;"BRISONr_58";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;91;59.75;1026.236882;2096.4;43.93;45.4;509.75;1;0;0;12.5;0;NA;8;NA;8.5
14;8;"BRISONr_59";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;80;53.23;685.0074963;1421.44;40.25;41.63;389.81;1;0;0;7.5;5;NA;11;NA;7.91
7;4;"BRISONr_60";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;97;61.73;768.8155922;1580.96;41.65;38.63;404.8;0;0;0;3;0;NA;21;NA;8.56
13;6;"BRISONr_61";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;86;48.07;797.0014993;1643.93;43.53;42.58;449.78;0;0;0;1;3;NA;15;NA;8.15
18;11;"BRISONr_62";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;87;53.12;649.6251874;1476.01;39.58;37.78;389.81;1;0;0;5;5;NA;16;NA;8.89
12;6;"BRISONr_63";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;92;43.2;708.6956522;1692.8;40.63;34.13;479.76;0;0;0;1;0;NA;17;NA;8.92
9;5;"BRISONr_64";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;92;69.81;829.3853073;1815.74;45.93;44.95;494.75;0;0;0;5;1;NA;30;NA;9.16
17;9;"BRISONr_65";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;94;57.02;463.868066;1053.97;44.58;43.65;344.83;1;0;0;5;1;NA;18;NA;8.97
7;9;"BRISONr_66";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;95;59.59;839.1304348;1754.27;47.53;44.78;449.78;5;1;0;7.5;1;NA;13;NA;8.24
8;4;"BRISONr_67";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;89;65.64;852.173913;1703.6;41.58;37.2;434.78;0;1;0;3;0;NA;6;NA;8.23
