Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
12;103;BRISONr_87;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;63.81;592.20744;1305.32;42.1;39;506.92;2;1;NA;1;NA;NA;18.86;404;11.97
3;57;BRISONr_88;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;95;70.52;812.18544;1547.98;53.37;50.1;440.22;NA;NA;NA;NA;NA;NA;42.18;437;13.01
12;80;BRISONr_88;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;89;71.47;604.33956;1213.32;50.77;49.76;373.52;1;1;NA;1;NA;NA;39.91;458.5;12.62
4;24;BRISONr_89;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;72.07;894.31056;1774.65;47.07;47.85;426.88;NA;NA;NA;NA;NA;NA;17.85;364;12.46
12;99;BRISONr_89;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;93;64.24;569.80968;1153.32;48.47;44.38;440.22;3;2;NA;1;NA;NA;16.99;351;12.24
4;6;BRISONr_90;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;94;72.24;933.63996;1815.98;53.33;48.36;586.96;NA;NA;NA;NA;NA;NA;47.77;470;14.16
12;92;BRISONr_90;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;91;68.37;536.74632;1093.32;50.5;48.45;306.82;2;2;NA;1;NA;NA;47.25;484;13.73
4;34;BRISONr_91;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;89;76.88;1001.36652;1941.31;50.03;45.3;586.96;NA;NA;NA;NA;NA;NA;41.44;510.5;13.11
12;68;BRISONr_91;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;89;75.16;525.68076;962.66;52.77;46.77;293.48;1;2;NA;1;NA;NA;44.8;541.5;13.57
4;29;BRISONr_92;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;96;74.82;743.259;1505.32;44.63;40.69;546.94;NA;NA;NA;NA;NA;NA;19.8;387;11.64
12;86;BRISONr_92;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;89;64.16;656.46768;1362.65;NA;45.38;493.58;1;2;NA;1;NA;NA;22.3;383.5;12.22
4;44;BRISONr_93;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;69.83;809.2524;1527.98;50.4;44.8;440.22;NA;NA;NA;NA;NA;NA;35.99;474;12.12
11;62;BRISONr_93;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;97;72.33;754.19124;1493.32;47.63;43.58;480.24;1;3;NA;1;NA;NA;32.54;490;12.18
3;8;BRISONr_94;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;99;35.17;355.56444;975.99;40.53;33.93;413.54;NA;NA;NA;NA;NA;NA;24.33;386;12.81
11;107;BRISONr_94;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;100;40.42;455.42112;1135.99;NA;36.5;413.54;3;2;NA;1;NA;NA;22.05;391;12.3
3;31;BRISONr_95;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;92;69.49;817.38492;1719.98;41.07;39.86;480.24;NA;NA;NA;NA;NA;NA;37.08;472;12.71
12;105;BRISONr_95;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;85;72.41;577.9422;1158.66;46.03;43.26;360.18;1;1;NA;1;NA;NA;36.15;430.5;12.7
4;36;BRISONr_96;2015;GGE;1;HN_NF;B1;314;NA;NA;192;95;72.07;506.48268;1006.66;47;44.48;226.78;NA;NA;NA;NA;NA;NA;40.2;478;12.93
11;78;BRISONr_96;2015;GGE;1;HN_NF;B2;314;NA;NA;192;94;72.58;661.13388;1250.65;50;45.41;293.48;1;2;NA;1;NA;NA;37.88;461.5;13.03
3;32;BRISONr_97;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;95;65.36;772.32276;1551.98;46.9;47.52;426.88;NA;NA;NA;NA;NA;NA;26.34;408;12.96
11;103;BRISONr_97;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;94;67.77;583.40832;1194.65;48.9;45.39;373.52;1;4;NA;1;NA;NA;24.72;394;12.88
4;58;BRISONr_98;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;100;57.62;669.933;1590.65;51.13;47.05;453.56;NA;NA;NA;NA;NA;NA;44.63;467.5;13.09
11;84;BRISONr_98;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;103;54.7;579.67536;1329.32;51.97;46.95;426.88;3;1;NA;1;NA;NA;43.61;487;13.05
4;45;BRISONr_99;2015;GGE;1;HN_NF;B1;314;NA;NA;188;89;64.5;728.99376;1479.99;54.37;45.72;480.24;NA;NA;NA;NA;NA;NA;37.64;431.5;11.59
11;83;BRISONr_99;2015;GGE;1;HN_NF;B2;314;NA;NA;192;97;60.11;638.73612;1267.99;56.27;52.48;386.86;3;1;NA;1;NA;NA;39.48;431.5;12.16
3;49;BRISONr_100;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;87;68.8;704.19624;1335.99;49.27;45.73;440.22;NA;NA;NA;NA;NA;NA;37.35;476;12.07
12;58;BRISONr_100;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;87;65.02;613.67196;1225.32;53.37;45.13;373.52;3;1;NA;1;NA;NA;28.9;400;10.16
3;51;BRISONr_101;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;91;77.49;685.79808;1302.65;53.47;47.72;360.18;NA;NA;NA;NA;NA;NA;45.31;475.5;13.01
12;107;BRISONr_101;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;74.65;786.98796;1519.98;NA;51.24;400.2;1;1;NA;1;NA;NA;44.77;455;13.08
3;53;BRISONr_102;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;100;63.98;662.46708;1342.65;48.13;49.1;360.18;NA;NA;NA;NA;NA;NA;45.24;404.5;12.93
11;68;BRISONr_102;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;99;69.06;552.74472;1191.99;50.63;46.69;346.84;1;1;NA;1;NA;NA;44.86;423.5;12.43
4;53;BRISONr_103;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;80.58;961.50384;1869.31;48.97;48.4;493.58;NA;NA;NA;NA;NA;NA;48.28;515.5;11.96
11;86;BRISONr_103;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;94;71.12;615.9384;1161.32;44.67;45.12;346.84;1;1;NA;1;NA;NA;44.56;499;12.32
4;49;BRISONr_104;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;59.94;443.42232;1019.99;51.77;42.48;320.16;NA;NA;NA;NA;NA;NA;33.01;457.5;12.61
11;95;BRISONr_104;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;94;57.62;562.74372;1125.32;47.2;39.97;400.2;3;1;NA;1;NA;NA;34.74;434;12.45
4;54;BRISONr_105;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;86;78;505.2828;926.66;47.13;44.75;333.5;NA;NA;NA;NA;NA;NA;41.79;466;12.16
11;67;BRISONr_105;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;94;77.06;819.11808;1527.98;50.13;45.11;520.26;1;1;NA;1;NA;NA;38.9;481;12.47
3;61;BRISONr_106;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;88;67.6;800.18664;1533.32;53.13;48.64;493.58;NA;NA;NA;NA;NA;NA;22.45;420;12.75
11;85;BRISONr_106;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;68.28;725.52744;1357.32;54.63;46.91;386.86;1;1;NA;1;NA;NA;19.12;392.5;12.3
3;36;BRISONr_107;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;99;64.76;604.47288;1327.99;54.43;50.6;453.56;NA;NA;NA;NA;NA;NA;41.45;469;13.2
12;95;BRISONr_107;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;99;63.47;688.06452;1407.99;59.47;51.61;413.54;1;1;NA;1;NA;NA;39.08;468.5;13.49
4;1;BRISONr_108;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;96;75.16;535.81308;1115.99;51.97;47.85;320.16;NA;NA;NA;NA;NA;NA;28.16;351.5;12.89
12;100;BRISONr_108;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;98;69.92;730.72692;1518.65;55.77;51.66;440.22;1;2;NA;1;NA;NA;25.4;292;12.22
4;8;BRISONr_109;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;101;66.99;561.2772;1249.32;52.27;45.91;346.84;NA;NA;NA;NA;NA;NA;42.43;449;13.84
12;61;BRISONr_109;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;101;62.87;569.67636;1143.99;NA;46.34;306.82;2;1;NA;2;NA;NA;45.37;497.5;14.09
4;11;BRISONr_110;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;99;63.47;692.86404;1498.65;52.23;47.94;413.54;NA;NA;NA;NA;NA;NA;45.36;475.5;13.75
12;88;BRISONr_110;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;97;59.86;606.20604;1329.32;51.73;46.45;440.22;1;2;NA;1;NA;NA;40.87;457;13.74
3;12;BRISONr_111;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;101;63.3;745.39212;1645.32;48.93;42.55;426.88;NA;NA;NA;NA;NA;NA;44.68;477;12.36
12;77;BRISONr_111;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;98;68.54;562.74372;1181.32;43.57;45.58;320.16;1;1;NA;1;NA;NA;41.02;430.5;12.57
3;35;BRISONr_112;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;96;60.2;544.47888;1143.99;49.53;49.44;333.5;NA;NA;NA;NA;NA;NA;45.32;545.5;12.94
12;66;BRISONr_112;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;100;59.08;773.9226;1707.98;50.93;47.54;533.6;1;1;NA;1;NA;NA;47.19;531.5;13.25
3;22;BRISONr_113;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;66.22;743.79228;1510.65;49.43;46.3;413.54;NA;NA;NA;NA;NA;NA;47.81;533;13.54
12;59;BRISONr_113;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;95;71.04;858.5808;1727.98;48.67;44.82;546.94;1;2;NA;1;NA;NA;50.27;564;13.76
4;28;BRISONr_114;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;99;60.72;633.53664;1374.65;57.33;50.82;360.18;NA;NA;NA;NA;NA;NA;26.75;440.5;13.3
11;96;BRISONr_114;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;99;69.92;556.87764;1130.66;57.13;49.67;306.82;1;1;NA;1;NA;NA;28.43;420.5;13.63
3;10;BRISONr_115;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;95;67.17;734.19324;1493.32;44.2;38.81;480.24;NA;NA;NA;NA;NA;NA;19.14;418;12.05
11;66;BRISONr_115;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;99;78.86;772.98936;1517.32;40.9;39.66;426.88;1;1;NA;1;NA;NA;17.46;404.5;12.04
3;38;BRISONr_116;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;65.79;719.66136;1443.99;53.9;48.89;440.22;NA;NA;NA;NA;NA;NA;34.66;522;12.81
11;109;BRISONr_116;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;93;62.78;655.80108;1423.99;54.77;48.99;426.88;1;1;NA;1;NA;NA;36.07;510;12.13
3;30;BRISONr_117;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;99;61.06;840.5826;1742.65;56.83;50.12;466.9;NA;NA;NA;NA;NA;NA;40.79;440;12.38
11;111;BRISONr_117;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;96;61.75;548.6118;1209.32;53.13;48.3;360.18;1;1;NA;1;NA;NA;39.17;398;12.08
4;27;BRISONr_118;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;84;74.73;528.48048;1029.32;50.37;50.76;253.46;NA;NA;NA;NA;NA;NA;39.85;497;12.75
12;96;BRISONr_118;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;91;66.91;502.21644;967.99;50;49.76;333.5;1;1;NA;1;NA;NA;37.93;506;12.95
4;2;BRISONr_119;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;65.45;867.2466;1695.98;48.27;43.19;546.94;NA;NA;NA;NA;NA;NA;45.44;504;14.58
12;85;BRISONr_119;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;96;60.63;584.07492;1118.66;47.37;43.85;333.5;1;3;NA;1;NA;NA;43.67;525.5;14.69
3;4;BRISONr_120;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;96;55.9;679.932;1553.32;51.87;46.83;400.2;NA;NA;NA;NA;NA;NA;42.58;504.5;13.81
12;51;BRISONr_120;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;103;61.66;656.46768;1358.65;50.97;44.76;346.84;2;2;NA;1;NA;NA;42.78;521.5;12.81
4;59;BRISONr_121;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;100;67.6;707.66256;1343.99;50.4;45.02;373.52;NA;NA;NA;NA;NA;NA;48.9;434;13.41
12;69;BRISONr_121;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;106;65.1;674.06592;1371.99;NA;45.1;360.18;1;2;NA;1;NA;NA;48.26;447.5;13.99
4;39;BRISONr_122;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;100;70.43;551.2782;1141.32;49.8;52.01;333.5;NA;NA;NA;NA;NA;NA;42.65;479;12.93
11;58;BRISONr_122;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;100;73.62;684.73152;1381.32;54.27;43.34;426.88;1;1;NA;1;NA;NA;30.01;426.5;10.2
