BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_158;HN_NF;B1;11;11;2019;KIE;1;282;289;NA;NA;96;68.28;661.75;1352.59;37.54;38.06;375;NA;NA;NA;NA;NA;NA;NA;12.98;29;SB123
BRISONr_38;HN_NF;B1;12;11;2019;KIE;1;282;291;NA;NA;75;74.25;818;1451.75;37.58;38.35;400;NA;NA;NA;NA;NA;NA;NA;11.19;37;SB123
BRISONr_20;HN_NF;B1;9;12;2019;KIE;1;282;291;NA;NA;74;68.89;654.58;1264.67;35.59;34.24;425;NA;NA;NA;NA;NA;NA;NA;11.97;33;SB135
BRISONr_118;HN_NF;B1;10;12;2019;KIE;1;282;289;NA;NA;80;71.46;814.08;1597.41;35.91;37.18;458.33;NA;NA;NA;NA;NA;NA;NA;12;33;SB135
BRISONr_143;HN_NF;B1;11;12;2019;KIE;1;282;289;NA;NA;94;84.5;1113.25;2152.08;38.42;44.97;491.67;NA;NA;NA;NA;NA;NA;NA;9.72;20;SB135
BRISONr_50;HN_NF;B1;12;12;2019;KIE;1;282;289;NA;NA;86;84.24;1029.17;1985.66;36.59;39.15;483.33;NA;NA;NA;NA;NA;NA;NA;11.96;35;SB135
BRISONr_104;HN_NF;B1;9;13;2019;KIE;1;282;291;NA;NA;89;67.92;657.92;1346.92;33.66;31.87;333.33;NA;NA;NA;NA;NA;NA;NA;12.65;30;SB147
BRISONr_222;HN_NF;B1;10;13;2019;KIE;1;282;291;NA;NA;79;86.98;706.5;1310.5;41.07;40.64;375;NA;NA;NA;NA;NA;NA;NA;11.66;39;SB147
BRISONr_188;HN_NF;B1;11;13;2019;KIE;1;282;289;NA;NA;91;72.58;957.5;1958.59;36.52;39.49;550;NA;NA;NA;NA;NA;NA;NA;12.88;28;SB147
BRISONr_226;HN_NF;B1;12;13;2019;KIE;1;282;291;NA;NA;85;89.45;943.08;1743.67;36.89;36.03;483.33;NA;NA;NA;NA;NA;NA;NA;11.07;25;SB147
BRISONr_134;HN_NF;B2;21;1;2019;KIE;1;282;291;NA;NA;NA;69.76;827;1679.25;38.24;39.95;433.33;NA;NA;NA;NA;NA;NA;NA;12.75;50;SB6
BRISONr_31;HN_NF;B2;22;1;2019;KIE;1;282;291;NA;NA;NA;76.81;288.17;568.08;36.72;34.09;166.67;NA;NA;NA;NA;NA;NA;NA;11.39;21;SB6
BRISONr_160;HN_NF;B2;23;1;2019;KIE;1;282;291;NA;NA;NA;57.48;539.08;1250.17;34.98;35.07;416.67;NA;NA;NA;NA;NA;NA;NA;12.1;33;SB6
BRISONr_50;HN_NF;B2;24;1;2019;KIE;1;282;291;NA;NA;NA;76.61;845.5;1725.5;35.52;38.31;458.33;NA;NA;NA;NA;NA;NA;NA;11.83;33;SB6
BRISONr_118;HN_NF;B2;21;2;2019;KIE;1;282;291;NA;NA;NA;65.08;510.17;1141.42;34.71;30.89;375;NA;NA;NA;NA;NA;NA;NA;12.26;32;SB18
BRISONr_138;HN_NF;B2;22;2;2019;KIE;1;282;291;NA;NA;NA;64.33;421.83;917.92;35.11;35.4;258.33;NA;NA;NA;NA;NA;NA;NA;13.17;54;SB18
BRISONr_56;HN_NF;B2;23;2;2019;KIE;1;282;291;NA;NA;NA;84.55;841.5;1627.17;35.61;36.65;450;NA;NA;NA;NA;NA;NA;NA;11.4;35;SB18
BRISONr_131;HN_NF;B2;24;2;2019;KIE;1;282;291;NA;NA;NA;67.68;660;1435.42;39.17;39.76;366.67;NA;NA;NA;NA;NA;NA;NA;12.26;30;SB18
BRISONr_38;HN_NF;B2;21;3;2019;KIE;1;282;291;NA;NA;NA;73.01;692.5;1401;33.3;34.71;433.33;NA;NA;NA;NA;NA;NA;NA;11.01;38;SB30
BRISONr_121;HN_NF;B2;22;3;2019;KIE;1;282;291;NA;NA;NA;65.85;617.92;1303.41;36.32;34.19;391.67;NA;NA;NA;NA;NA;NA;NA;12.3;40;SB30
BRISONr_225;HN_NF;B2;23;3;2019;KIE;1;282;291;NA;NA;NA;88.92;989.92;1856.34;38.5;42.33;441.67;NA;NA;NA;NA;NA;NA;NA;12.67;41;SB30
BRISONr_80;HN_NF;B2;24;3;2019;KIE;1;282;291;NA;NA;NA;88.36;633.5;1212.08;41.02;41.47;316.67;NA;NA;NA;NA;NA;NA;NA;11.62;19;SB30
BRISONr_92;HN_NF;B2;21;4;2019;KIE;1;282;291;NA;NA;NA;73.19;528.33;1040.58;32.57;33.55;300;NA;NA;NA;NA;NA;NA;NA;11.9;20;SB42
BRISONr_96;HN_NF;B2;22;4;2019;KIE;1;282;291;NA;NA;NA;82.16;1034.83;2036.5;37.93;37.65;533.33;NA;NA;NA;NA;NA;NA;NA;12.59;40;SB42
BRISONr_223;HN_NF;B2;23;4;2019;KIE;1;282;291;NA;NA;NA;78.29;716.5;1465.08;35.58;35.12;425;NA;NA;NA;NA;NA;NA;NA;10.54;22;SB42
BRISONr_150;HN_NF;B2;24;4;2019;KIE;1;282;289;NA;NA;NA;62.81;761.42;1812.5;38.13;36.5;525;NA;NA;NA;NA;NA;NA;NA;11.88;33;SB42
BRISONr_158;HN_NF;B2;21;5;2019;KIE;1;282;291;NA;NA;NA;59.62;507.92;1540.42;38.21;36.48;458.33;NA;NA;NA;NA;NA;NA;NA;11.91;42;SB54
BRISONr_164;HN_NF;B2;22;5;2019;KIE;1;282;291;NA;NA;NA;48.15;568.58;1268.84;33.43;34;350;NA;NA;NA;NA;NA;NA;NA;13.09;25;SB54
BRISONr_59;HN_NF;B2;23;5;2019;KIE;1;282;291;NA;NA;NA;66.38;843.25;1715.83;33.71;35.74;608.33;NA;NA;NA;NA;NA;NA;NA;11.65;30;SB54
BRISONr_102;HN_NF;B2;24;5;2019;KIE;1;282;291;NA;NA;NA;77.49;829.33;1675.83;40.38;39.48;458.33;NA;NA;NA;NA;NA;NA;NA;11.95;35;SB54
BRISONr_114;HN_NF;B2;21;6;2019;KIE;1;282;292;NA;NA;NA;54.84;449.83;976.25;37.91;35.73;275;NA;NA;NA;NA;NA;NA;NA;12.25;30;SB66
BRISONr_226;HN_NF;B2;22;6;2019;KIE;1;282;292;NA;NA;NA;74.31;753.33;1389.59;36.04;36.09;408.33;NA;NA;NA;NA;NA;NA;NA;11.9;21;SB66
BRISONr_26;HN_NF;B2;23;6;2019;KIE;1;282;291;NA;NA;NA;72.44;1013.83;1904.67;44.63;45.41;550;NA;NA;NA;NA;NA;NA;NA;12.21;39;SB66
BRISONr_124;HN_NF;B2;24;6;2019;KIE;1;282;291;NA;NA;NA;58.33;731.5;1486.33;32.13;34.09;450;NA;NA;NA;NA;NA;NA;NA;11.77;31;SB66
BRISONr_54;HN_NF;B2;21;7;2019;KIE;1;282;292;NA;NA;NA;56.93;613.67;1183.59;34.22;32.18;383.33;NA;NA;NA;NA;NA;NA;NA;12.17;35;SB78
BRISONr_143;HN_NF;B2;22;7;2019;KIE;1;282;291;NA;NA;NA;66.48;829;1647.75;41.43;39.08;483.33;NA;NA;NA;NA;NA;NA;NA;11.97;34;SB78
BRISONr_169;HN_NF;B2;23;7;2019;KIE;1;282;291;NA;NA;NA;54.85;671.33;1425.84;34.5;35.62;391.67;NA;NA;NA;NA;NA;NA;NA;12.07;25;SB78
BRISONr_67;HN_NF;B2;24;7;2019;KIE;1;282;291;NA;NA;NA;72.74;902.25;1734.75;37.11;39.12;491.67;NA;NA;NA;NA;NA;NA;NA;11.32;21;SB78
