"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"Protein_yield","2017/QLB/HN_WF_RF",0.0426513449779379,0.00169732582549896,0.039302129342268,0.0460005606136078,9.09088261380724,10.7969364129248,0,0.78
"Protein_yield","2017/QLB/LN_WF_RF",0.0382986035726991,0.00141614599965643,0.0355042206362076,0.0410929865091906,9.02320394088602,10.555148083794,0,0.8
"Protein_yield","2018/GGE/HN_WF_RF",0.00392992136761837,0.00365544736421826,-0.00352541268429908,0.0113852554195358,4.94884261167705,5.10603946638179,0.7036,0.04
"Protein_yield","2018/HAN/HN_NF_RF",0.00784559005814439,0.00244585050205841,0.00285724507132085,0.0128339350449679,8.90498744922985,9.21881105155562,0.1881,0.25
"Protein_yield","2018/HAN/HN_WF_RF",0.00704798209211794,0.00333120781828741,0.000253938953979937,0.013842025230256,8.63701394681517,8.91893323049989,0.4346,0.13
"Protein_yield","2018/HAN/LN_WF_RF",0.0137039391482672,0.00143507526798355,0.0107770838426238,0.0166307944539106,4.38058888741737,4.92874645334806,0,0.75
"Protein_yield","2018/KAL/HN_WF_RF",0.0291230686026578,0.0014336077289985,0.0262935692999654,0.0319525679053503,12.8719899597517,14.036912703858,0,0.7
"Protein_yield","2018/KAL/LN_WF_RF",0.0247595321466148,0.0010825317528893,0.0226229484926731,0.0268961158005566,9.15658246375007,10.1469637496147,0,0.75
"Protein_yield","2018/KIE/HN_NF_RF",0.0293697084772493,0.00121571299960413,0.0268868913033904,0.0318525256511081,7.69759745178412,8.87238579087409,0,0.95
"Protein_yield","2018/KIE/HN_WF_RF",0.0189404846680782,0.0012829510169721,0.0163238888178957,0.0215570805182608,8.05686178783332,8.81448117455645,0,0.88
"Protein_yield","2018/KIE/LN_WF_RF",0.0161114439173564,0.000995382919768839,0.0140813470681745,0.0181415407665383,4.87932252240867,5.52378027910292,0,0.89
"Protein_yield","2019/HAN/HN_NF_RF",0.0195766993363216,0.00178604642580997,0.015934033634994,0.0232193650376493,6.61587556476255,7.39894353821542,0,0.79
"Protein_yield","2019/HAN/HN_WF_RF",0.015042201462057,0.00126164773129339,0.0124690539494686,0.0176153489746454,8.64467523441398,9.24636329289627,0,0.82
"Protein_yield","2019/HAN/LN_WF_RF",0.00703087712595305,0.00219018175235307,0.00256397199197692,0.0114977822599292,5.14417995516308,5.4254150402012,0.0546,0.25
"Protein_yield","2019/KAL/HN_WF_RF",0.0222278670133655,0.00110922263944524,0.0200386037851088,0.0244171302416222,8.75627631023752,9.64539099077214,0,0.7
"Protein_yield","2019/KAL/LN_WF_RF",0.0172311614858814,0.00131483164104771,0.0146360895312251,0.0198262334405377,7.47745130299309,8.16669776242835,0,0.5
"Protein_yield","2019/KIE/HN_NF_RF",0.0476873591331124,0.00222176107827413,0.0431560475392921,0.0522186707269327,7.52363699527388,9.43113136059837,0,0.94
"Protein_yield","2019/KIE/HN_WF_RF",0.0257478773547134,0.00186995689007025,0.0219340751332335,0.0295616795761933,9.4400354633895,10.469950557578,0,0.86
"Protein_yield","2019/KIE/LN_WF_RF",0.0238351833139066,0.0023689572671676,0.0190036631135798,0.0286667035142334,6.11481487235264,7.06822220490891,0,0.77
"Protein_yield","2020/KAL/HN_WF_RF",0.0200402353048283,0.00173156155015519,0.0166226670958762,0.0234578035137803,11.517982463801,12.3195918759941,0,0.43
"Protein_yield","2020/KAL/LN_WF_RF",0.00401334295976864,0.00119327785351732,0.001658180675031,0.00636850524450628,6.62177200031618,6.78230571870693,0.5909,0.06
"Sedimentation","2015/GGE/HN_WF_RF",-0.0393961990084013,0.0126227000378493,-0.0643036997934719,-0.0144886982233306,30.2059211226519,28.6300731623159,0,0.05
"Sedimentation","2015/HAN/HN_NF_RF",0.0349016019009065,0.0134583214812835,0.00834522712723209,0.0614579766745809,33.9507087260978,35.3467728021341,0.1975,0.04
"Sedimentation","2015/HAN/HN_WF_RF",0.00508538858074655,0.0139200870072168,-0.0223821561617313,0.0325529333232244,35.1505681316108,35.3539836748406,0.3677,0
"Sedimentation","2015/KAL/HN_NF_RF",0.00858638479077608,0.018231089591069,-0.0273877631285,0.0445605327100522,33.8292792956432,34.1727346872743,0.6432,0
"Sedimentation","2015/KAL/HN_WF_RF",-0.108729021615096,0.0144783335701383,-0.137298115682404,-0.0801599275477876,37.8438126824043,33.4946518178004,0,0.24
"Sedimentation","2015/KIE/HN_NF_RF",0.00639125770040885,0.0150923657656059,-0.0233894636213544,0.0361719790221721,35.0428339342537,35.29848424227,0.4578,0
"Sedimentation","2015/KIE/HN_WF_RF",0.00514175940675712,0.0145815368824515,-0.0236309786174508,0.033914497430965,35.2491167936994,35.4547871699696,0.39,0
"Sedimentation","2015/QLB/HN_NF_RF",-0.0316933040706329,0.0152137309147166,-0.0617135068454681,-0.00167310129579765,53.8791394033338,52.6114072405085,2e-04,0.02
"Sedimentation","2015/QLB/HN_WF_RF",-0.0234614997548745,0.0160530685947361,-0.0551379095108895,0.0082149100011405,53.5524531951161,52.6139932049211,0.0022,0.01
"Sedimentation","2015/QLB/LN_WF_RF",-0.0229899834055118,0.0139728962432954,-0.0505617329603628,0.00458176614933929,48.8371207453216,47.9175214091011,9e-04,0.01
"Sedimentation","2016/GGE/HN_NF_RF",0.0499001361747292,0.0105900382830444,0.0290035462171183,0.0707967261323402,32.0168792833578,34.0128847303469,0.002,0.11
"Sedimentation","2016/GGE/HN_WF_RF",0.0199557464495275,0.0104631603485945,-0.000690484057059265,0.0406019769561142,31.3970663355663,32.1952961935474,0.7056,0.02
"Sedimentation","2016/HAN/HN_NF_RF",0.0495797151885094,0.0115284036609034,0.0268315137440039,0.0723279166330148,32.7840040693098,34.7671926768502,0.0054,0.09
"Sedimentation","2016/HAN/HN_WF_RF",0.0126269778573389,0.0126574409396967,-0.0123490747460782,0.037603030460756,34.8176731131883,35.3227522274819,0.6949,0.01
"Sedimentation","2016/KAL/HN_NF_RF",0.0489826351537691,0.0122034590302756,0.0249005623292346,0.0730647079783036,33.1676765124031,35.1269819185539,0.0102,0.08
"Sedimentation","2016/KAL/HN_WF_RF",0.013840896395704,0.0116765067109256,-0.00919954655209604,0.0368813393435041,34.9581493245905,35.5117851804186,0.7422,0.01
"Sedimentation","2016/KIE/HN_NF_RF",0.0257984314826923,0.00983258116274221,0.00639647926201674,0.0452003837033679,36.0813431617655,37.1132804210732,0.4543,0.04
"Sedimentation","2016/KIE/HN_WF_RF",0.0214561369679204,0.00941800859205441,0.00287223212212598,0.0400400418137148,36.3598618268538,37.2181073055706,0.754,0.03
"Sedimentation","2016/QLB/HN_NF_RF",0.0840196614713569,0.0102307032318903,0.0638321225124933,0.10420720043022,25.3969600816681,28.7577465405224,0,0.27
"Sedimentation","2016/QLB/HN_WF_RF",0.0467813371568641,0.0120607302054018,0.0229827325668154,0.0705799417469129,35.2638269219647,37.1350804082393,0.0194,0.08
"Sedimentation","2016/QLB/LN_WF_RF",0.0598154202323003,0.0112068206537499,0.0377017762896863,0.0819290641749143,34.0464299065524,36.4390467158444,2e-04,0.14
"Sedimentation","2017/GGE/HN_NF_RF",0.0439986671029886,0.0165744119724267,0.0112935265247102,0.0767038076812669,39.3553615512443,41.1153082353638,0.155,0.04
"Sedimentation","2017/GGE/HN_WF_RF",-0.00776139320992373,0.0163595709411502,-0.0400426028432269,0.0245198164233795,41.6262743106915,41.3158185822945,0.0836,0
"Sedimentation","2017/HAN/HN_NF_RF",0.0479351959970854,0.0160350283783963,0.016294383752007,0.0795760082421639,36.7792074409028,38.6966152807862,0.0738,0.05
"Sedimentation","2017/HAN/HN_WF_RF",0.0397240990054856,0.0165650598538244,0.00703741231589426,0.072410785695077,35.6249614452812,37.2139254055007,0.1997,0.03
"Sedimentation","2017/KAL/HN_NF_RF",-0.172142443897643,0.0244213040891202,-0.220331313865898,-0.123953573929388,44.0387873525912,37.1530895966855,0,0.22
"Sedimentation","2017/KAL/HN_WF_RF",-0.219998626957365,0.0187236431597878,-0.256944696760451,-0.183052557154279,44.0060149561679,35.2060698778733,0,0.43
"Sedimentation","2017/KIE/HN_NF_RF",0.0259609610917002,0.0145635993861458,-0.00277638211190856,0.0546983042953089,36.5682474565952,37.6066859002632,0.6173,0.02
"Sedimentation","2017/KIE/HN_WF_RF",0.0487320190588868,0.0129558966764499,0.0231670443963857,0.0742969937213879,34.1043284846166,36.0536092469721,0.0179,0.07
"Sedimentation","2017/QLB/HN_NF_RF",0.0908284388551194,0.014706523990669,0.0618090724164902,0.119847805293749,38.038064275868,41.6712018300728,0,0.17
"Sedimentation","2017/QLB/HN_WF_RF",0.0721894232116085,0.0163573279776022,0.0399126394631133,0.104466206960104,43.5165440022077,46.404120930672,0.0029,0.1
"Sedimentation","2017/QLB/LN_WF_RF",0.0578541831896542,0.0159749130727956,0.0263319923185253,0.0893763740607831,41.1656132095034,43.4797805370895,0.0238,0.07
"Sedimentation","2018/HAN/HN_NF_RF",-0.0185574031975431,0.0245688807561137,-0.0686659658625469,0.0315511594674606,35.8624621563319,35.1201660284302,0.1487,0.02
"Sedimentation","2018/HAN/HN_WF_RF",-0.00338582893830462,0.0272947576040288,-0.059053854087852,0.0522821962112428,36.2045516698724,36.0691185123402,0.4359,0
"Sedimentation","2018/HAN/LN_WF_RF",-0.0328573288975338,0.0132287683594117,-0.0598375798458174,-0.00587707794925028,18.2735772274116,16.9592840715102,0.0036,0.17
"Sedimentation","2018/KAL/HN_WF_RF",0.0414251803357964,0.0210370887011964,-9.55415511441002e-05,0.0829459022227369,60.5314030828226,62.1884102962544,0.6169,0.02
"Sedimentation","2018/KAL/LN_WF_RF",-0.0427415601402262,0.00960470695633613,-0.0616982880413124,-0.02378483223914,30.6279461759074,28.9182837702984,0,0.1
