Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-10-02;KIE;16,0;1,9;90,2;5,87;1,9;13,6;19,4
2014-10-03;KIE;16,9;1,9;85,3;8,54;2,1;14,2;21,8
2014-10-04;KIE;15,2;1,9;75,9;12,11;4,1;11,6;19,8
2014-10-05;KIE;13,4;1,9;81,7;11,18;3,8;9,8;17,4
2014-10-06;KIE;13,6;0,0;79,9;7,44;6,5;11,3;16,8
2014-10-07;KIE;11,9;8,6;85,8;3,79;5,7;10,1;14,3
2014-10-08;KIE;12,3;0,6;83,6;7,50;4,3;8,6;15,5
2014-10-09;KIE;15,6;0,0;82,9;6,43;4,0;12,9;18,6
2014-10-10;KIE;13,4;0,0;85,5;7,69;4,3;9,2;17,5
2014-10-11;KIE;13,1;0,1;90,6;8,10;2,3;7,1;18,0
2014-10-12;KIE;12,5;0,7;91,0;6,55;2,6;9,1;16,5
2014-10-13;KIE;12,2;4,0;95,9;2,30;3,6;10,4;13,3
2014-10-14;KIE;13,2;1,7;94,6;5,16;2,1;11,4;16,3
2014-10-15;KIE;12,9;0,6;91,4;3,16;2,2;11,7;14,9
2014-10-16;KIE;12,6;0,2;93,4;2,34;2,1;11,2;14,2
2014-10-17;KIE;13,0;2,4;94,8;3,27;3,0;9,6;16,2
2014-10-18;KIE;14,0;0,0;91,8;2,10;3,7;10,6;16,6
2014-10-19;KIE;16,2;16,6;89,1;2,42;5,6;14,6;19,6
2014-10-20;KIE;13,7;4,6;84,0;6,00;6,0;11,1;15,9
2014-10-21;KIE;11,5;8,1;94,9;1,98;4,0;9,8;13,0
2014-10-22;KIE;11,4;0,0;90,0;5,47;4,4;8,6;14,3
2014-10-23;KIE;10,9;1,9;86,8;4,66;3,2;7,0;13,4
2014-10-24;KIE;11,9;1,7;84,0;3,08;4,0;10,7;14,1
2014-10-25;KIE;10,9;0,9;94,6;2,58;3,5;8,6;13,7
2014-10-26;KIE;11,3;1,9;87,4;4,14;4,0;8,1;13,8
2014-10-27;KIE;12,6;1,9;80,9;6,62;4,2;10,2;15,4
2014-10-28;KIE;10,1;1,9;87,1;7,45;3,5;5,7;15,0
2014-10-29;KIE;6,9;0,0;96,3;1,96;3,3;3,2;10,1
2014-10-30;KIE;6,7;0,0;91,1;6,02;1,8;0,9;11,6
2014-10-31;KIE;11,5;0,0;96,5;1,62;2,7;9,4;13,9
2014-11-01;KIE;13,4;0,0;88,6;5,41;3,1;10,5;18,0
2014-11-02;KIE;13,1;3,5;87,8;4,93;3,4;10,9;16,2
2014-11-03;KIE;13,3;0,9;82,3;4,22;5,1;11,4;14,8
2014-11-04;KIE;11,1;3,6;88,0;2,10;3,4;8,8;14,3
2014-11-05;KIE;8,9;1,8;95,1;1,43;3,8;8,2;9,9
2014-11-06;KIE;7,7;0,0;93,0;3,89;3,2;4,8;10,4
2014-11-07;KIE;6,5;0,1;88,8;5,47;3,3;3,4;9,3
2014-11-08;KIE;8,1;0,9;88,4;3,10;3,4;5,8;11,6
2014-11-09;KIE;7,9;0,1;87,5;4,48;3,7;5,6;12,0
2014-11-10;KIE;7,5;0,7;96,4;2,28;2,7;5,8;9,9
2014-11-11;KIE;7,4;0,0;95,7;4,84;4,0;4,3;9,9
2014-11-12;KIE;9,7;0,1;97,3;1,24;4,8;8,7;10,3
2014-11-13;KIE;10,1;0,0;98,0;1,21;1,3;9,4;11,2
2014-11-14;KIE;10,2;0,9;93,9;1,19;5,0;8,9;11,3
2014-11-15;KIE;9,6;0,0;90,1;1,16;7,3;9,1;10,2
2014-11-16;KIE;8,4;1,2;93,6;1,14;6,7;7,1;10,2
