"BRISONr";"genotype";"RYear";"breeder";"Year_of_release_fin";"Quality_recent";"Release_state";"Hybrid.status";"Group"
"G154";"Aron";1992;"Semundo";1992;"E";"Deutschland";"non-hybrid";"SL"
"G155";"KWS Milaneco";2013;"KWS LOCHOW GMBH";2013;"E";"Deutschland";"non-hybrid";"SL"
"G156";"Aszita";2005;"Kunz/Schmidt";2005;"B";"Deutschland";"non-hybrid";"SL"
"G157";"Kobold";1978;"Firlbeck";1978;"B";"Deutschland";"non-hybrid";"SL"
"G158";"Carimulti";1975;"Heidenreich und Eger";1975;"C";"Deutschland";"non-hybrid";"SL"
"G159";"Admiral";1968;"Firlbeck";1968;"A";"Deutschland";"non-hybrid";"SL"
"G160";"Vuka";1975;"Franck";1975;"A";"Deutschland";"non-hybrid";"SL"
"G161";"Benno";1973;"Bauer, G.";1973;"E";"Deutschland";"non-hybrid";"SL"
"G162";"Apollo";1984;"Saatzucht Breun";1984;"C";"Deutschland";"non-hybrid";"SL"
"G163";"Aquila";1979;"Nickerson";1979;"C";"GRB/IT";"non-hybrid";"SL"
"G164";"Kanzler";1980;"Engelen Büchling";1980;"B";"Deutschland";"non-hybrid";"SL"
"G165";"Kraka";1982;"Petersen, A.S.";1982;"A";"Deutschland";"non-hybrid";"SL"
"G166";"Caribo";1968;"Heidenreich und Eger";1968;"B";"Deutschland";"non-hybrid";"SL"
"G167";"Butaro";2009;"LandbauschuleDottenfelderhof e.V./Spieß";2009;"E";"Deutschland";"non-hybrid";"SL"
"G168";"Konsul";1990;"Svalöf Weibull";1990;"B";"Deutschland";"non-hybrid";"SL"
"G169";"Ares";1983;"Strube, Dr. H.";1983;"B";"Deutschland";"non-hybrid";"SL"
"G179";"Apache";1997;" Nickerson>Limagrain";1997;"A";"CZ";"non-hybrid";"FK"
"G180";"Premio";2006;" RAGT";2006;"B";"Frankreich";"non-hybrid";"FK"
"G181";"Isengrain";1996;"Florimond Desprez (WvB, Witt";1996;"B";"FR/SI/ES";"non-hybrid";"FK"
"G183";"Boregar";2007;"RAGT 2 n";2007;"A";"Frankreich";"non-hybrid";"FK"
"G186";"KWS Ferrum";2012;"KWS LOCHOW GMBH";2012;"B";"Deutschland";"non-hybrid";"FK"
"G188";"Cardos";1998;"Saatzucht Hadmersleben";1998;"A";"Deutschland";"non-hybrid";"FK"
"G193";"Camp Remy";1980;" Unisigma";1980;"B";"Deutschland";"non-hybrid";"FK"
"G200";"Orcas";2010;"Secobra Recherches";2010;"B";"Deutschland";"non-hybrid";"FK"
"G201";"Nimbus";1975;"Firlbeck";1975;"B";"Deutschland";"non-hybrid";"FK"
"G202";"Muskat";2010;"DSV";2010;"C";"Deutschland";"non-hybrid";"FK"
"G204";"Rumor";2013;"Dr. Hermann Strube";2013;"B";"Deutschland";"non-hybrid";"FK"
"G207";"Kontrast";1990;"Saatzucht Hadmersleben";1990;"A";"Deutschland";"non-hybrid";"FK"
"G208";"WW 4180 (Kongo)";2012;"Saatzucht Josef Breun";2012;"";"Deutschland";"non-hybrid";"FK"
"G213";"Pegassos";1994;"Strube Saatzucht";1994;"A";"AT, CH, DE, LT, PL, SI, SK";"non-hybrid";"FK"
"G214";"Hybred";2003;"Nordsaat";2003;"B";"DE/FR";"hybrid";"FK"
"G215";"Hyland";2009;"Nordsaat";2009;"B";"DE/HU";"hybrid";"FK"
"G216";"Hybery";2010;"Saaten Union Recherche";2010;"B";"Frankreich";"hybrid";"FK"
"G217";"Hystar";2007;"Saaten Union Recherche";2007;"B";"Frankreich";"hybrid";"FK"
"G218";"Hylux";2012;"Saaten Union Recherche / Estrées St Denis";2012;"B";"Frankreich";"hybrid";"FK"
"G219";"Piko";1994;"NORDSAAT";1994;"B";"Deutschland";"non-hybrid";"FK"
"G220";"SUR99820";NA;"Saaten Union Recherche";NA;"";"Frankreich";"non-hybrid";""
"G1";"Einstein";NA;"Nickerson/Limagrain";2004;"B";"GB";"non-hybrid";"SK"
"G2";"Oakley";NA;"KWS UK Limited";2008;"C";"UK/BE";"non-hybrid";"SK"
"G4";"Claire";NA;"Nickerson";1999;"C";"IE/UK";"non-hybrid";"SK"
"G14";"Brigand";NA;"PBIC = Plant Breeding International Cambridge";1979;"BISC; D";"GBR";"non-hybrid";"SK"
"G16";"Durin";NA;"";NA;"";"Frankreich";"non-hybrid";"SK"
"G28";"Robigous";NA;"KWS UK Limited; CPB Twyford Ltd";2004;"B";"England";"non-hybrid";"SK"
"G30";"Solstice";NA;"Limagrain UK Ltd";2001;"";"England";"non-hybrid";"SK"
"G43";"TJB 990-15";NA;"Plant Breeding International Cambridge (PBIC)";1980;"BISC; D";"GBR";"non-hybrid";"SK"
"G48";"Gaucho";NA;"USDA-ARS, Oklahoma AES";1993;"";"USA";"non-hybrid";"SK"
"G87";"Sponsor";NA;"Unisigma";1994;"";"FR, IE";"non-hybrid";"SK"
"G123";"Helios";NA;"Arizona Plant Breeders";2013;"";"USA";"non-hybrid";"SK"
"G140";"Capelle Desprez";NA;"SAS Florimond Desprez";1946;"C";"FR, CHL, GBR, NL";"non-hybrid";"SL"
"G170";"Centurk";NA;"Nebraska Agricultural Experiment Station, USDA-ARS";1971;"HRW/ Ex";"USA";"non-hybrid";"FL"
"G171";"NS 22/92";NA;"";NA;"";"Serbien";"non-hybrid";"FL"
"G172";"Benni multifloret";NA;"Purdue University Agricultural Experiment Station";1980;"SRW/Pr";"USA/Indiana";"non-hybrid";"FL"
"G173";"Hope";NA;"S.Dakota Agricultural Experiment Station";NA;"";"USA/(S.Dakota)";"non-hybrid";"FL"
"G174";"Vel";NA;"";NA;"";"USA";"non-hybrid";"FL"
"G175";"Phoenix";NA;"Agricultural Research Institute, Wagga Wagga";1981;"HWW/Gd";"AUS:New-South-Wales,USA:California";"non-hybrid";"FL"
"G176";"Mironovska 808";NA;"Mironovskii institut selektsii i semenovodstva pshenitsy";1963;"STR/Medium hard/Hg";"Ukraine";"non-hybrid";"FL"
"G177";"Caphorn";NA;"RAGT 2 n";2000;"";"Frankreich";"non-hybrid";"FK"
"G178";"Cordiale";NA;"KWS UK Limited";2003;"";"England";"non-hybrid";"FK"
"G182";"Alixan";NA;"Limagrain";2005;"A";"Frankreich";"non-hybrid";"FK"
"G184";"Renesansa";NA;"Institute of Field and Vegetable Crops, Novi Sad";1995;"A2-A1";"Serbien";"non-hybrid";"FK"
"G185";"Tremie";NA;"Serasem>RAGT";1991;"";"ES, FR, IT,";"non-hybrid";"FK"
"G187";"Triple dirk";NA;"INIA = Instituto Nacional de Investigaciones Agricolas";NA;"";"Australien";"non-hybrid";"FK"
"G189";"Soissons";NA;"Florimond Desprez";1987;"B/A";"BE, Es, FR, IE, IT; SI";"non-hybrid";"FK"
"G190";"BCD 1302/83";NA;"Goertzen Seed Research, Westbred???";NA;"";"Moldavien";"non-hybrid";"FK"
"G191";"Arlequin";NA;"Limagrain Verneuil Holding";2007;"";"Frankreich";"non-hybrid";"FK"
"G192";"Sonalika";NA;"Indian Agricultural Research Institute (IARI";1967;"HWS/Hg";"Indien";"non-hybrid";"FK"
"G194";"Cajeme 71";NA;"CIMMYT";1971;"HRS";"Mexico";"non-hybrid";"FK"
"G195";"Avalon";NA;"Plant Breeding International Cambridge (PBIC";1980;"B/Gd";"GBR;";"non-hybrid";"FK"
"G196";"Ivanka";NA;"Institute of Field and Vegetable Crops, Novi Sad";1998;"B1";"Serbien";"non-hybrid";"FK"
"G197";"Pobeda";NA;"Institute of Field and Vegetable Crops, Novi Sad";1990;"A1-A2";"Serbien";"non-hybrid";"FK"
"G198";"NS 66/92";NA;"";NA;"";"Serbien";"non-hybrid";"FK"
"G199";"Mex. 3";NA;"BAZ, Braunschweig Genetic Resources Centre";NA;"";"Mexico";"non-hybrid";"FK"
"G203";"Florida";NA;"";1984;"";"USA";"non-hybrid";"FK"
"G205";"Highbury";NA;"Plant Breeding International Cambridge (PBIC)";1968;"A";"GBR";"non-hybrid";"FK"
"G206";"Siete Cerros";NA;"INIA = Instituto Nacional de Investigaciones Agricolas, CIMMYT";1966;"HWS/Pr Md";"Mexiko";"non-hybrid";"FK"
"G209";"INTRO 615";NA;"";NA;"";"USA";"non-hybrid";"FK"
"G210";"NS 46/90";NA;"";NA;"";"Serbien";"non-hybrid";"FK"
"G211";"Mex. 17 bb";NA;"CYMMIT";NA;"";"Mexico";"non-hybrid";"FK"
"G212";"Lambriego Inia";NA;"INIA Chillan";1980;"";"Chile";"non-hybrid";"FK"
